Entity,Code,Year,Annual CO2 emissions (per capita)
Afghanistan,AFG,2019.0,0.29340136
Albania,ALB,2019.0,1.7215332
Algeria,DZA,2019.0,4.2033315
Andorra,AND,2019.0,6.285722
Angola,AGO,2019.0,0.6743616
Anguilla,AIA,2019.0,9.987539
Antigua and Barbuda,ATG,2019.0,5.408881
Argentina,ARG,2019.0,3.9894862
Armenia,ARM,2019.0,2.2279305
Aruba,ABW,2019.0,8.569915
Australia,AUS,2019.0,16.419682
Austria,AUT,2019.0,7.6505237
Azerbaijan,AZE,2019.0,3.6879482
Bahamas,BHS,2019.0,6.2672267
Bahrain,BHR,2019.0,25.30706
Bangladesh,BGD,2019.0,0.553767
Barbados,BRB,2019.0,4.201019
Belarus,BLR,2019.0,6.4130325
Belgium,BEL,2019.0,8.638375
Belize,BLZ,2019.0,1.8173902
Benin,BEN,2019.0,0.58126897
Bermuda,BMU,2019.0,9.126565
Bhutan,BTN,2019.0,1.8855052
Bolivia,BOL,2019.0,1.973223
Bonaire Sint Eustatius and Saba,BES,2019.0,4.2942533
Bosnia and Herzegovina,BIH,2019.0,6.1922417
Botswana,BWA,2019.0,2.7131457
Brazil,BRA,2019.0,2.243357
British Virgin Islands,VGB,2019.0,5.5023994
Brunei,BRN,2019.0,23.940914
Bulgaria,BGR,2019.0,5.99157
Burkina Faso,BFA,2019.0,0.25278836
Burundi,BDI,2019.0,0.060455058
Cambodia,KHM,2019.0,1.1121005
Cameroon,CMR,2019.0,0.36865783
Canada,CAN,2019.0,15.5829935
Cape Verde,CPV,2019.0,1.0603964
Central African Republic,CAF,2019.0,0.04360792
Chad,TCD,2019.0,0.11919735
Chile,CHL,2019.0,4.8300643
China,CHN,2019.0,7.5541654
Colombia,COL,2019.0,1.9215612
Comoros,COM,2019.0,0.39373294
Congo,COG,2019.0,1.3178641
Cook Islands,COK,2019.0,4.918695
Costa Rica,CRI,2019.0,1.583944
Cote d'Ivoire,CIV,2019.0,0.40290913
Croatia,HRV,2019.0,4.3240995
Cuba,CUB,2019.0,2.0184536
Curacao,CUW,2019.0,10.150425
Cyprus,CYP,2019.0,5.9756975
Czechia,CZE,2019.0,9.586614
Democratic Republic of Congo,COD,2019.0,0.02897969
Denmark,DNK,2019.0,5.3409405
Djibouti,DJI,2019.0,0.36555248
Dominica,DMA,2019.0,2.3590405
Dominican Republic,DOM,2019.0,2.6059487
East Timor,TLS,2019.0,0.5351027
Ecuador,ECU,2019.0,2.321556
Egypt,EGY,2019.0,2.4251409
El Salvador,SLV,2019.0,1.1819563
Equatorial Guinea,GNQ,2019.0,2.986391
Eritrea,ERI,2019.0,0.24450994
Estonia,EST,2019.0,9.329184
Eswatini,SWZ,2019.0,0.95858824
Ethiopia,ETH,2019.0,0.16033709
Faroe Islands,FRO,2019.0,14.313607
Fiji,FJI,2019.0,1.4798502
Finland,FIN,2019.0,7.6757298
France,FRA,2019.0,4.9128566
French Guiana,GUF,2019.0,2.5341055
French Polynesia,PYF,2019.0,2.921616
Gabon,GAB,2019.0,2.557198
Gambia,GMB,2019.0,0.23950748
Georgia,GEO,2019.0,2.8959723
Germany,DEU,2019.0,8.504699
Ghana,GHA,2019.0,0.59343636
Greece,GRC,2019.0,6.218656
Greenland,GRL,2019.0,9.894308
Grenada,GRD,2019.0,2.6867204
Guadeloupe,GLP,2019.0,6.4024734
Guatemala,GTM,2019.0,1.1552123
Guinea,GIN,2019.0,0.34430987
Guinea-Bissau,GNB,2019.0,0.16363285
Guyana,GUY,2019.0,3.4179611
Haiti,HTI,2019.0,0.27352905
Honduras,HND,2019.0,1.1278571
Hong Kong,HKG,2019.0,5.589584
Hungary,HUN,2019.0,5.038442
Iceland,ISL,2019.0,9.829243
India,IND,2019.0,1.8989491
Indonesia,IDN,2019.0,2.4461334
Iran,IRN,2019.0,8.120656
Iraq,IRQ,2019.0,4.5027084
Ireland,IRL,2019.0,7.623673
Israel,ISR,2019.0,6.812934
Italy,ITA,2019.0,5.679641
Jamaica,JAM,2019.0,2.7803972
Japan,JPN,2019.0,8.792438
Jordan,JOR,2019.0,2.4608672
Kazakhstan,KAZ,2019.0,15.866767
Kenya,KEN,2019.0,0.37638173
Kiribati,KIR,2019.0,0.53079224
Kosovo,OWID_KOS,2019.0,5.0370727
Kuwait,KWT,2019.0,23.498793
Kyrgyzstan,KGZ,2019.0,1.4280186
Laos,LAO,2019.0,2.7171376
Latvia,LVA,2019.0,3.9908507
Lebanon,LBN,2019.0,4.5660133
Lesotho,LSO,2019.0,1.073333
Liberia,LBR,2019.0,0.22192731
Libya,LBY,2019.0,10.540814
Liechtenstein,LIE,2019.0,3.8708053
Lithuania,LTU,2019.0,4.886943
Luxembourg,LUX,2019.0,15.729075
Macao,MAC,2019.0,1.8274176
Madagascar,MDG,2019.0,0.15613857
Malawi,MWI,2019.0,0.084429234
Malaysia,MYS,2019.0,8.20496
Maldives,MDV,2019.0,3.870847
Mali,MLI,2019.0,0.187366
Malta,MLT,2019.0,3.2745082
Marshall Islands,MHL,2019.0,3.2750838
Martinique,MTQ,2019.0,6.235224
Mauritania,MRT,2019.0,0.8608683
Mauritius,MUS,2019.0,3.4879518
Mayotte,MYT,2019.0,1.0255651
Mexico,MEX,2019.0,3.7749555
Micronesia (country),FSM,2019.0,1.3157139
Moldova,MDA,2019.0,1.7657733
Mongolia,MNG,2019.0,14.618863
Montenegro,MNE,2019.0,3.9290168
Montserrat,MSR,2019.0,4.8551235
Morocco,MAR,2019.0,1.8897853
Mozambique,MOZ,2019.0,0.23598108
Myanmar,MMR,2019.0,0.6525071
Namibia,NAM,2019.0,1.6786424
Nauru,NRU,2019.0,4.521224
Nepal,NPL,2019.0,0.46573588
Netherlands,NLD,2019.0,8.813599
New Caledonia,NCL,2019.0,17.936743
New Zealand,NZL,2019.0,7.4855385
Nicaragua,NIC,2019.0,0.78321993
Niger,NER,2019.0,0.10530145
Nigeria,NGA,2019.0,0.6261749
Niue,NIU,2019.0,5.657231
North Korea,PRK,2019.0,2.048663
North Macedonia,MKD,2019.0,3.7815452
Norway,NOR,2019.0,7.9995737
Oman,OMN,2019.0,15.68125
Pakistan,PAK,2019.0,0.9228277
Palau,PLW,2019.0,12.254864
Palestine,PSE,2019.0,0.66508037
Panama,PAN,2019.0,3.1705666
Papua New Guinea,PNG,2019.0,0.8257233
Paraguay,PRY,2019.0,1.2625307
Peru,PER,2019.0,1.7572007
Philippines,PHL,2019.0,1.3157338
Poland,POL,2019.0,8.273783
Portugal,PRT,2019.0,4.6277156
Qatar,QAT,2019.0,36.03262
Reunion,REU,2019.0,4.776165
Romania,ROU,2019.0,3.9453893
Russia,RUS,2019.0,11.612027
Rwanda,RWA,2019.0,0.14118028
Saint Helena,SHN,2019.0,2.6793418
Saint Kitts and Nevis,KNA,2019.0,5.2957954
Saint Lucia,LCA,2019.0,2.8927286
Saint Pierre and Miquelon,SPM,2019.0,11.080646
Saint Vincent and the Grenadines,VCT,2019.0,2.1647418
Samoa,WSM,2019.0,1.2794564
Sao Tome and Principe,STP,2019.0,0.61461616
Saudi Arabia,SAU,2019.0,18.323465
Senegal,SEN,2019.0,0.79755205
Serbia,SRB,2019.0,5.9916444
Seychelles,SYC,2019.0,5.68628
Sierra Leone,SLE,2019.0,0.14798374
Singapore,SGP,2019.0,5.0996385
Sint Maarten (Dutch part),SXM,2019.0,16.018604
Slovakia,SVK,2019.0,6.1929975
Slovenia,SVN,2019.0,6.6487336
Solomon Islands,SLB,2019.0,0.43425184
Somalia,SOM,2019.0,0.039892595
South Africa,ZAF,2019.0,8.038351
