Year,High Systolic Blood Pressure,High sodium diet,Low whole grains diet,Alcohol use,Low fruits diet,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Household air pollution from solid fuels,Diet low in vegetables,Smoking,High fasting plasma glucose,Air pollution (indoor and outdoor),High body-mass index,Unsafe sanitation,Drug use,Low bone mineral density,Vitamin a deficiency,Child stunting,Non-exclusive breastfeeding,Iron deficiency,Ambient particulate matter pollution,Low physical activity,No access to handwashing facility,High ldl cholesterol
1990,13571966.559988,2640239.8675789,2355778.13151554,3278991.13349277,1590876.33683082,4883035.320207552,2323439.9352663,6065506.55040923,6859121.207157414,859629.57027906,861998.924362636,8714508.484968258,932572.25548069,11734415.2465662,5817993.813758301,12999745.55473615,4394821.0134358,3672115.316566347,471713.9586114,414618.200458544,415020.89767180773,1666524.3931088108,1010623.6200502857,146883.9228320229,4093567.8858232503,903979.74295783,2399629.482492161,6003658.2435024
1991,13773961.7095994,2662419.3690835,2394602.5068478,3351402.02941414,1611652.40173052,4900790.251448118,2331393.1488883,5994267.37889016,6712735.250081296,1000596.26404889,872044.971990495,8638995.058429226,926418.3304032,11937336.2581907,5958621.2696708,13005720.3756199,4513667.5450752005,3683743.7588515957,504810.315734426,423722.71188412,407016.03780964855,1633771.6399645275,994063.931691669,144720.92416058874,4173928.73192255,921475.0778823,2400142.776860721,6060241.9752043
1992,14043340.4758903,2697284.2872616,2446740.80731084,3446086.4109627698,1641812.03859063,4850449.7992906235,2345603.4625459,5933346.25134122,6514391.61783116,1169085.33800774,888289.906773848,8576324.679525461,925155.20336859,12179647.1198256,6132184.6818184,13050435.61457655,4671730.5493584005,3644775.5982379382,538589.82691591,432817.14391066,396588.24921439204,1592647.8101067364,955884.1710317801,144967.97117062844,4275432.91110743,944892.2902731,2381291.4335896242,6151977.7509148
1993,14477495.7614657,2744560.2567984997,2542244.2201628,3573714.39209846,1688112.3347045,4721588.447932741,2366153.34575755,5861182.40912171,6315123.533538894,1360764.95093656,921780.572537119,8481509.857384656,930337.1989994,12512256.086494,6357807.7250891,13110726.64865767,4907236.3045068,3537921.6060582204,578189.153866164,446102.668518688,379323.497019141,1543002.1732954795,921933.7224342863,141566.54728979396,4420643.21326682,982083.29333313,2324429.174777947,6361083.7640555
1994,14752818.1919675,2766861.9036033,2602116.1270053,3681968.49246228,1718715.51589973,4619345.818326756,2368571.18096965,5785629.30858775,6146738.640271789,1573636.24139141,941358.875890298,8358994.514544042,928852.8312880299,12723964.7326799,6532473.6978436,13112049.4927502,5093490.267913,3449400.537224657,619177.799754525,455517.16712251,366250.075929229,1501036.573035561,891123.7877767787,140543.59928662554,4529420.61815623,1006213.6628002201,2281591.678462916,6478185.2524844
1995,14885090.6184673,2776928.7523501003,2621570.11686467,3732726.6719874702,1729841.82350935,4505326.088052992,2356092.55059285,5721167.54804612,6152665.95968937,1789454.58375546,939251.745616253,8228149.250303353,923152.79411642,12846002.6079209,6673031.96981,13071977.6163927,5202846.4754256,3355367.162070642,652612.03148288,463465.32420815,355098.91089396924,1458643.152996007,854612.000830251,138602.67040370314,4602530.6177875,1024313.49668368,2235695.094802402,6488088.2253776
1996,14995650.5987003,2782569.7938428,2626607.79371404,3741180.6100276704,1740530.66136779,4406301.208959322,2342175.54615014,5633896.70788491,5904678.87653644,1987026.2476083501,932887.522670882,8120993.957269547,917647.78992842,12907986.245257499,6819197.4432272,13053690.80503015,5291887.505133701,3269473.0588360527,674702.233447686,472607.116862213,342566.92238955345,1407103.6907729455,819304.7173057952,136980.51610039858,4679645.54153434,1037211.25853133,2190362.1886215103,6460737.754461899
1997,15154910.7123478,2788304.8504713,2640531.5961968,3751537.5939149098,1758925.9317378302,4342775.665605176,2331128.110011,5564272.6358383,5704710.93214773,2174893.17660291,932777.00040066,8032332.65814928,914312.5361266,12997182.8957431,7000766.5496125,13091622.38347297,5407166.108645299,3209525.874056021,690676.7452950301,484230.367566124,328585.27163887036,1356776.0521153796,785299.0874774389,137709.22614892817,4793290.99424956,1052528.63289128,2159234.649227147,6453631.8291027
1998,15303717.218859099,2794439.8563383003,2655593.87742414,3787745.08193144,1767244.42137126,4280968.960678195,2311898.7315104,5498653.88624144,5507626.560693846,2386799.02174035,927830.7712014699,7872226.070167474,905745.05937097,13078926.0730404,7182703.5465165,13048668.64339185,5533752.0253337,3152373.681977637,714335.883808166,494930.605959488,316622.52070477296,1305730.2421649224,756708.6368995338,137115.0672058599,4910020.59418414,1071524.86978764,2124549.933283422,6453027.1300978
1999,15606377.991674,2835566.8882029997,2708364.1576127,3870398.23718995,1790121.6920935302,4197967.073532454,2308026.80941386,5424825.15959103,5306578.961018989,2611427.32759995,938686.4572590219,7695972.554236862,902198.4738444601,13236830.6959143,7402797.6501022,13041458.82704455,5735978.0374194,3079216.1880738325,746481.787034895,507317.958024308,307745.2465532151,1252102.5967663988,729766.632682988,136695.12791227075,5065183.59919637,1097277.55697014,2085522.222883025,6559766.7229901
