Year,Anomaly,Category
1850,-0.11,Below
1851,-0.01,Below
1852,0.07,Above
1853,-0.01,Below
1854,-0.13,Below
1855,-0.14,Below
1856,-0.3,Below
1857,-0.17,Below
1858,-0.21,Below
1859,-0.13,Below
1860,-0.24,Below
1861,-0.1,Below
1862,-0.3,Below
1863,-0.14,Below
1864,-0.17,Below
1865,-0.09,Below
1866,-0.18,Below
1867,-0.12,Below
1868,-0.11,Below
1869,-0.19,Below
1870,-0.16,Below
1871,-0.16,Below
1872,-0.1,Below
1873,-0.09,Below
1874,-0.14,Below
1875,-0.09,Below
1876,-0.15,Below
1877,0.11,Above
1878,0.03,Above
1879,-0.18,Below
1880,-0.14,Below
1881,-0.05,Below
1882,-0.08,Below
1883,-0.16,Below
1884,-0.32,Below
1885,-0.31,Below
1886,-0.29,Below
1887,-0.34,Below
1888,-0.18,Below
1889,-0.12,Below
1890,-0.33,Below
1891,-0.14,Below
1892,-0.26,Below
1893,-0.28,Below
1894,-0.21,Below
1895,-0.15,Below
1896,-0.03,Below
1897,-0.04,Below
1898,-0.21,Below
1899,-0.03,Below
1900,-0.07,Below
1901,-0.14,Below
1902,-0.23,Below
1903,-0.4,Below
1904,-0.42,Below
1905,-0.22,Below
1906,-0.21,Below
1907,-0.3,Below
1908,-0.42,Below
1909,-0.33,Below
1910,-0.36,Below
1911,-0.44,Below
1912,-0.43,Below
1913,-0.31,Below
1914,-0.18,Below
1915,-0.11,Below
1916,-0.27,Below
1917,-0.22,Below
1918,-0.29,Below
1919,-0.32,Below
1920,-0.23,Below
1921,-0.19,Below
1922,-0.27,Below
1923,-0.32,Below
1924,-0.3,Below
1925,-0.16,Below
1926,-0.12,Below
1927,-0.14,Below
1928,-0.19,Below
1929,-0.23,Below
1930,-0.1,Below
1931,-0.01,Below
1932,-0.15,Below
1933,-0.19,Below
1934,-0.09,Below
1935,-0.14,Below
1936,-0.07,Below
1937,0.06,Above
1938,-0.03,Below
1939,0.02,Above
1940,0.11,Above
1941,0.21,Above
1942,-0.01,Below
1943,0.02,Above
1944,0.18,Above
1945,0.29,Above
1946,-0.12,Below
1947,-0.09,Below
1948,-0.05,Below
1949,-0.05,Below
1950,-0.09,Below
1951,0.11,Above
1952,0.06,Above
1953,0.1,Above
1954,-0.05,Below
1955,-0.02,Below
1956,-0.19,Below
1957,0.26,Above
1958,0.01,Above
1959,0.04,Above
1960,0.01,Above
1961,0.05,Above
1962,0.07,Above
1963,0.18,Above
1964,-0.19,Below
1965,0.01,Above
1966,-0.02,Below
1967,0.09,Above
1968,-0.03,Below
1969,0.1,Above
1970,0.03,Above
1971,-0.02,Below
1972,0.09,Above
1973,0.13,Above
1974,0.05,Above
1975,-0.02,Below
1976,0.01,Above
1977,0.16,Above
1978,0.0,Above
1979,0.25,Above
1980,0.22,Above
1981,0.26,Above
1982,0.15,Above
1983,0.36,Above
1984,0.19,Above
1985,0.15,Above
1986,0.15,Above
1987,0.34,Above
1988,0.51,Above
1989,0.32,Above
1990,0.38,Above
1991,0.37,Above
1992,0.11,Above
1993,0.11,Above
1994,0.26,Above
1995,0.5,Above
1996,0.44,Above
1997,0.47,Above
1998,0.68,Above
1999,0.33,Above
2000,0.46,Above
2001,0.48,Above
2002,0.53,Above
2003,0.6,Above
2004,0.44,Above
2005,0.59,Above
2006,0.72,Above
2007,0.58,Above
2008,0.48,Above
2009,0.71,Above
2010,0.67,Above
2011,0.7,Above
2012,0.65,Above
2013,0.7,Above
2014,0.83,Above
2015,0.83,Above
2016,0.96,Above
2017,0.89,Above
2018,0.75,Above
2019,0.91,Above
2020,0.9,Above
2021,0.84,Above
2022,0.93,Above
2023,1.25,Above
